EmployeeNumber,Name,Department,Education,EducationField,JobLevel,JobRole,MonthlyIncome,PerformanceRating,StudentFeedbackPercentage,FeedbackCount,PercentSalaryHike
597630,Timmi Spikeings,4,5,4,2,2,53550,5,35.33,1,5
347303,Ardyce Kenworthy,3,2,5,1,7,71025,3,87.31,1,19
176567,Dayna Dary,1,4,2,3,10,18588,2,15.53,1,5
489774,Keelia Proudlove,3,3,5,2,4,21687,4,68.78,1,15
494701,Daffie Farmery,4,2,4,2,5,23936,1,25.76,1,14
700358,Allie Jeacop,5,3,1,1,4,18977,4,78.9,1,16
424280,Jessie Dragonette,5,4,5,3,8,57460,2,91.26,1,1
912340,Homer Bathowe,5,3,4,5,4,44392,3,6.62,1,9
388343,Ertha Fearnyough,2,5,5,1,8,19463,5,45.12,1,8
283080,Say Paynton,3,4,3,2,4,78822,5,35.19,1,13
338453,Salvador Idney,4,1,5,1,3,9140,3,31.09,1,0
525136,Gardiner Moralis,2,4,4,5,10,40765,3,71.96,1,17
33594,Martino Rosengarten,1,1,2,1,10,6092,4,83.72,1,13
822518,Ivory McKinty,1,2,3,5,9,62711,5,18.19,1,19
205383,Ephraim Seabrooke,1,2,1,3,8,23034,4,79.81,1,5
452239,Nannie Swaysland,1,1,4,5,9,36415,2,91.41,1,11
634071,Herbie Bennit,2,5,5,3,4,10694,2,58.95,1,1
731393,Ravid Phetteplace,3,4,4,4,6,20622,5,94.27,1,19
912644,Lorilyn Timmins,5,1,3,2,9,35267,5,51.38,1,11
869891,Hayes Gratrix,2,3,1,4,6,36549,2,47.28,1,1
366917,Loutitia Zanassi,5,2,4,2,4,15907,5,8.99,1,16
95908,Udall Champion,3,4,3,4,2,67282,2,8.52,1,17
473671,Klement Kayzer,4,5,5,4,5,74429,3,96.04,1,19
635784,Melissa Franzotto,5,2,4,5,6,72465,3,2.62,1,6
21401,Dennie Gaskoin,5,2,2,2,1,56165,2,68.58,1,20
362073,Rennie Duncombe,4,4,4,2,8,42186,1,0.31,1,0
565242,Rouvin Kubalek,5,2,3,1,7,84293,4,86.33,1,5
8587,Julio Tague,2,2,4,2,9,51790,4,51.39,1,14
811919,Richart Ricci,4,1,1,2,3,19734,1,73.97,1,8
598572,Hester Galego,1,1,4,1,10,27205,3,14.98,1,18
664238,Ramsey Fagence,1,1,4,4,8,22827,2,56.71,1,1
94343,Archie Paddeley,3,2,3,1,4,29740,5,55.94,1,1
581111,Lotty Robens,1,4,5,1,1,54148,2,99.63,1,16
807399,Linzy Rodd,3,3,5,5,4,4222,2,49.07,1,14
506735,Harmony Bannell,5,2,1,2,4,54218,4,74.56,1,20
798352,Bevon Conws,5,5,3,3,6,85828,1,98.32,1,14
206027,Brady Libri,3,3,5,4,10,18461,2,15.63,1,18
448115,Vanya Ivanonko,4,1,1,5,10,24450,4,85.35,1,18
23756,Haskell Fritter,3,3,4,2,2,45944,3,28.3,1,19
27337,Kameko Parkhouse,5,3,3,5,5,18799,1,76.19,1,10
329648,Fanechka Rocca,1,5,3,1,3,16400,5,5.26,1,7
545255,Andrea Loncaster,3,5,3,2,10,7430,1,40.48,1,3
152026,Margalo Playden,1,4,3,2,10,31095,3,78.65,1,2
750461,Shayla Pelerin,4,5,3,1,7,81569,4,99.87,1,17
149622,Austin Roberto,2,5,2,5,1,27394,2,15,1,8
150503,Kordula Elegood,2,1,3,3,4,71641,5,71.65,1,14
678042,Raphaela Heatly,2,2,4,2,6,89908,4,76.47,1,12
316245,Clayborne Casewell,2,3,3,2,8,87737,2,96.55,1,9
19067,Wolfy Brok,3,4,2,2,4,57996,1,68.08,1,4
91722,Norry Borrington,1,4,2,2,9,51063,5,61.83,1,9
605729,Anthe Manz,5,2,4,5,5,52704,4,28.63,1,19
85053,Eydie Davidde,5,3,4,4,4,82817,1,62.43,1,13
322758,Billye Bosche,1,2,3,4,1,12392,3,4.29,1,9
689610,Grayce Kliemchen,2,5,5,1,9,67495,5,13.45,1,17
833108,Roshelle Tetlow,1,2,5,3,6,66677,4,92.25,1,12
72383,Fons Daykin,2,2,5,5,1,52671,2,38.03,1,13
515786,Nevins Winman,4,1,4,1,9,29132,5,55.44,1,15
555533,Luella Salle,3,4,1,4,5,56122,3,90.89,1,9
110679,Ellen Sackes,5,5,5,4,2,61982,2,82.39,1,7
315930,Erena De Giorgi,1,4,4,3,5,87637,4,22.33,1,6
803568,Brandais Seivwright,5,1,1,1,5,41194,2,46.75,1,5
959178,Hilde Wallbanks,5,4,1,5,10,25233,1,44.92,1,7
198465,Jemmy McAvinchey,4,3,4,1,3,11618,2,20.94,1,9
647447,Juli Pomery,5,3,1,4,9,89330,4,92.87,1,5
674459,Aaren Mangenot,2,2,3,1,8,16850,1,8.64,1,12
413456,Alford Peacop,2,1,1,3,10,57515,3,56.46,1,7
822281,Lynett Buche,2,3,1,3,10,50626,5,85.87,1,0
319591,Maddi Cristofaro,3,4,5,4,1,58887,4,30.62,1,8
942226,Trumaine Skyppe,1,4,1,4,2,51108,1,47.73,1,4
294902,Skelly Navaro,4,2,1,1,1,17481,1,32.11,1,1
540707,Bronny Patley,3,1,1,5,1,42743,4,15.51,1,13
842782,Caria Endon,3,3,4,3,8,43990,1,44.1,1,9
609655,Melessa Breston,3,4,1,3,3,20173,2,18.56,1,9
904252,Dallas Breznovic,2,5,1,1,10,64468,5,74.29,1,13
547193,Brian Steers,3,5,3,3,5,67768,1,71.85,1,13
351504,Ogdon Cromer,2,2,4,3,7,69465,1,69.77,1,5
644832,Carma Cheshire,3,3,4,2,2,14697,3,70.8,1,5
3096,Eduard Halley,2,4,5,1,7,46046,3,64.34,1,15
181904,Marrissa Rist,3,3,5,1,10,3199,2,58.97,1,3
612564,Inga Braithwait,1,3,5,2,8,3250,3,28.76,1,11
65416,Tawsha Baytrop,1,2,1,2,6,19766,3,82.76,1,13
591377,Shell McAree,3,1,3,2,8,73565,3,57.65,1,17
384993,Auguste Giannazzo,4,4,1,1,2,81374,1,50.73,1,7
129282,Tiffanie Drane,3,4,4,3,3,19933,4,16.17,1,19
501321,Teddie Zannolli,2,5,5,4,3,63869,3,40.32,1,19
907830,Rebeca Redwin,2,2,5,3,1,62978,5,34.05,1,5
811896,Merilyn McGirr,5,1,5,5,9,89346,5,48.48,1,12
374792,Clemmie Trengrove,5,5,4,1,7,56175,1,84.54,1,8
860842,Germaine Packe,2,1,1,2,1,29004,2,10.84,1,5
182381,Dredi Shervil,5,2,4,4,9,3279,2,37.74,1,11
391378,Tessy Morican,2,4,3,3,3,2396,5,97.73,1,20
126455,Stefanie Iannelli,2,4,4,4,7,8360,5,65.59,1,12
910629,Zorine Yoslowitz,2,3,3,1,5,71928,5,92.12,1,14
910723,Brett Inkles,1,4,1,2,6,22111,5,71.5,1,1
289854,Sara-ann Lampens,5,5,3,2,6,78867,2,49.68,1,10
555513,Wash Plunket,3,5,5,2,5,7197,2,28.67,1,12
379281,Perceval Wilsey,2,1,1,5,7,54640,2,73.08,1,9
992315,Kelcey Stanlock,2,5,2,2,3,89814,1,96.35,1,16
756413,Jacinda Girdlestone,2,4,2,5,4,30511,1,87.64,1,8
629720,Constantin Pendergast,4,3,5,3,4,87136,4,61.77,1,14
365399,Leupold McFetridge,2,4,2,3,7,32056,2,29.39,1,13
102741,Weidar Mewitt,4,5,3,4,2,56210,3,84.34,1,12
484427,Leigha Walstow,4,5,5,5,4,60210,2,22.53,1,18
966873,Corrianne Vizor,1,3,5,2,7,4373,1,15.78,1,2
431808,Guthrie Nassey,5,2,2,5,3,70596,5,35.41,1,8
358166,Parker Crocetti,3,1,5,3,4,7361,4,24.87,1,20
4332,Ophelie Cadell,3,4,2,4,5,60972,3,3.03,1,18
942865,Gabby Shackle,2,2,3,1,8,9754,1,49.83,1,5
429952,Ignatius Whipp,4,3,1,5,8,60432,1,46.22,1,15
469586,Englebert Gehringer,1,5,3,1,3,78706,1,22.86,1,3
976391,Emilia Pinhorn,3,3,2,3,7,61960,5,82.58,1,16
792453,Alta Twoohy,2,3,3,4,2,1599,4,75.76,1,2
259802,Norma Stoven,5,1,3,3,6,67985,2,75.39,1,16
375581,Adelle Davidowsky,5,1,2,1,4,61416,5,35.35,1,12
183589,Mead Sockell,2,3,3,1,4,54624,1,60.12,1,6
358937,Foster McKnish,4,2,5,3,10,86372,3,76.84,1,7
629334,Jenica Cullivan,1,3,4,2,10,37653,1,91.44,1,0
853246,Marchelle Grinnell,5,1,3,5,1,4751,2,76.8,1,13
782862,Jerrold Obern,2,1,3,2,5,47050,3,9.13,1,16
304347,Minta Dandison,5,3,2,5,10,14117,2,9.08,1,15
615523,Gannie McKinn,5,2,1,2,9,34989,3,73.98,1,15
454899,Cally Doche,4,4,3,1,5,53461,2,87.29,1,19
501484,Dorry Dahmke,3,5,4,2,4,50205,4,18.46,1,19
375926,Winnah Murkin,2,4,2,3,4,2584,5,56.88,1,19
542429,Selia De Ath,5,5,2,5,10,29602,5,11.41,1,4
541630,Lorna Vynall,3,1,5,3,7,36797,5,21.34,1,18
288296,Pansy Pywell,1,5,4,2,2,11062,3,33.68,1,7
681801,Kenneth Aronsohn,3,2,3,1,2,89671,5,2.26,1,18
580297,Richie McKennan,2,4,1,3,4,25253,2,64.45,1,9
798357,Meier Fitchen,5,2,2,4,1,29449,2,33.45,1,15
685623,Jacquelyn Sutcliff,5,5,1,2,6,51012,4,39,1,16
18211,Janine Southway,3,3,2,2,2,6356,1,90.7,1,1
312441,Avril Fishe,4,2,2,2,8,81131,3,82.18,1,11
787758,Margot Mac Geaney,3,3,4,1,9,45768,4,63.25,1,4
796958,Hadria Morrill,2,5,2,5,8,70007,1,27.22,1,8
352045,Zilvia McEnteggart,3,3,4,4,5,13341,2,17.96,1,2
259018,Laurie Hepher,1,5,1,1,5,54140,3,32.06,1,15
438139,Bendix Abels,3,4,3,3,1,85348,2,16.93,1,11
979028,Sheppard Whorall,4,2,3,2,8,88461,4,54.38,1,4
373499,Carlynn Totman,2,1,5,2,7,75602,5,86.75,1,2
369941,Charmain Puleque,2,1,5,3,6,63859,4,13.05,1,2
62395,Leela Cullrford,4,2,2,1,5,14084,4,3.95,1,1
355896,Alina Timpany,4,4,2,5,1,48582,4,60.3,1,9
700536,Klarika Elsmere,3,2,3,3,2,39460,2,86.66,1,9
98580,Hasheem Weins,2,3,3,2,4,68753,5,97.54,1,11
144362,Ariel Caress,5,5,2,3,2,12431,1,2.29,1,12
99610,Gun Forster,5,4,5,5,9,17492,5,63.13,1,9
87312,Brana Eymor,5,3,1,5,7,82914,2,63.35,1,0
99366,Budd Maiklem,3,3,2,3,5,42907,5,77.12,1,6
134226,Fina Aveson,3,5,3,5,10,5602,2,39.16,1,5
417653,Augie Poles,2,2,3,5,3,73824,4,6.95,1,16
847232,Howey Revely,3,4,5,5,4,43641,2,68.48,1,16
359130,Jewel Blakeley,3,3,3,4,10,28805,5,22.44,1,6
216277,Essie Siley,5,2,5,3,8,27138,1,16.3,1,3
831827,Darcey Rawlyns,2,5,2,1,4,73420,3,57.74,1,5
815627,Herbie Oen,4,1,2,1,2,79763,4,20.73,1,7
802406,Danny Riddiough,1,5,4,3,6,25773,3,93.76,1,11
528952,Alleyn Lamming,1,5,2,1,8,49687,3,54.53,1,1
556463,Gallagher McLurg,4,3,2,3,1,43607,2,8.67,1,5
213005,Berti Cathenod,1,2,3,1,6,34131,5,63.16,1,0
484031,Humfrid Parkeson,4,5,2,2,2,35842,2,35.19,1,17
620703,Zsa zsa Bernakiewicz,5,4,4,3,9,45434,5,61.41,1,12
354195,Hersch Skakunas,3,4,3,1,8,44736,4,54.72,1,13
89039,Nananne Mowle,4,5,2,5,1,78658,3,35.9,1,19
994799,Guglielmo Rainard,1,3,4,1,1,38297,3,93.1,1,5
933381,Gwenore Ruckledge,4,4,3,1,2,52668,5,88.61,1,5
243636,Sutton Hillyatt,1,5,3,4,1,13575,3,8.21,1,6
793584,Amabelle Culverhouse,4,1,5,3,2,1242,3,71.4,1,11
283056,Letty Sherville,2,2,5,3,2,35760,1,98.51,1,2
222013,Martita Norcross,3,5,3,4,7,66836,4,5.37,1,14
194809,Germain Sorro,4,3,3,4,5,42061,3,5.42,1,15
949827,Yetty Deval,1,1,5,5,9,6774,3,77.26,1,12
748675,Avril MacNess,2,1,4,3,1,6504,1,30.61,1,7
902904,Louisette Giorgietto,1,3,1,5,7,70456,5,19.6,1,5
275811,Babita Chasson,3,1,3,3,10,70028,2,22.09,1,0
81662,Mitch Gabriel,3,2,4,3,1,39583,5,40.25,1,14
952065,Frieda Grombridge,2,2,5,5,6,86765,3,85.09,1,18
230391,Alfons Jesty,1,4,5,5,4,68074,4,76.2,1,18
662453,Etheline Dall,4,3,2,3,6,71921,2,45.91,1,5
859084,Nil Thornham,3,1,4,5,5,53794,5,93.47,1,13
259954,Stacie Lownie,3,4,2,5,10,1739,3,78.55,1,3
717715,Washington Lannen,2,1,4,1,5,35832,3,17.21,1,16
991907,Gregorius Yanne,5,3,1,5,7,56891,1,22.42,1,14
844422,Stanley Vertigan,3,2,5,3,5,4892,3,39.27,1,13
821585,Vinnie Apdell,2,4,3,3,5,35553,5,62.21,1,2
349953,Hubert Fewless,3,4,3,4,9,82700,4,63.39,1,20
394397,Jonah Oxberry,2,5,1,2,1,67706,3,80.61,1,4
391547,Harald Brookhouse,3,5,1,1,3,84721,4,21.35,1,1
508288,Erika MacCostye,3,1,1,5,4,80883,5,13.22,1,20
320265,Kally Kingwell,5,2,2,4,10,36957,3,18.27,1,8
82745,Roldan Whewill,1,5,4,3,8,49231,1,14.32,1,10
990196,Jackie Krishtopaittis,3,2,1,2,8,18876,4,16.51,1,1
243763,Meghann Strafford,2,1,3,4,6,59806,2,28.9,1,15
63107,Jaquenette Utridge,5,1,2,5,7,81956,2,18.22,1,12
822824,Guthrey Shurville,5,5,4,2,7,9208,5,26.4,1,14
151207,Garrott Sager,2,5,1,3,10,87859,2,82.81,1,19
597364,Deane Hymas,5,4,4,3,3,65903,2,57.3,1,12
813907,Shelly Pincott,4,5,5,3,4,9355,1,65.92,1,20
193785,Rhett Indruch,2,3,4,1,4,6730,5,48.15,1,0
331939,Pamelina Weben,4,2,5,1,3,8826,3,66.54,1,0
148958,Arabelle Hayhow,5,1,5,1,9,64154,1,52.89,1,13
742341,Tresa Hoston,3,1,5,1,3,55749,1,34.73,1,3
382731,Kalindi Cicchelli,5,3,1,4,9,21078,3,74.35,1,14
37897,Any Dhennin,1,3,5,2,7,6026,3,98.01,1,12
292337,Rosina Sennett,5,1,2,2,8,4690,2,44.69,1,12
922979,Reade Briggdale,4,3,4,1,3,21196,4,89.8,1,8
892818,Wilt Sabben,2,2,3,2,3,40795,3,81.32,1,4
444817,Sibby Horder,3,4,1,1,2,25331,3,94.79,1,0
738359,Philippine Bentham3,1,4,4,3,1,39740,3,25.08,1,5
379107,Taite Carrack,2,1,1,1,3,53925,3,70.24,1,5
279338,Art Scullard,5,1,3,5,6,73411,4,36.87,1,20
195941,Tamarra Gouldstraw,5,1,3,2,3,7139,3,81.64,1,18
753620,Karlyn Gawkes,5,2,4,2,4,36811,1,62.86,1,19
160135,Roxi Sim,2,4,3,1,7,40518,2,40.82,1,3
655508,Charlot Dreinan,5,1,3,3,7,1150,3,61.25,1,2
549069,Carmine Shilleto,4,1,5,1,8,5677,3,4.83,1,0
119568,Grayce Jovicic,2,1,3,1,10,55620,1,36.32,1,8
406912,Yoshi Rait,1,5,4,1,5,89962,2,7.4,1,14
974067,Colver Knowller,4,2,4,3,2,70174,4,30.23,1,10
901209,Keary McGeachy,4,5,1,5,7,60859,4,11.2,1,0
519170,Sandie Moyles,5,1,2,5,4,60218,5,72.26,1,11
462056,Valerie Pusill,4,3,5,1,4,60394,1,42.91,1,10
33034,Beauregard McGloin,3,4,1,4,6,88808,2,51.08,1,6
937856,Phyllida Asche,5,1,3,5,6,53715,2,75.02,1,20
49089,Andrew Worstall,5,5,5,5,1,79427,3,64.03,1,1
901490,Iolande Summergill,4,1,2,2,2,47219,3,9.86,1,4
408698,Bea Blase,4,4,4,3,6,6655,3,38.22,1,0
425332,Codie Loudyan,5,5,4,3,1,29591,2,91.34,1,9
256832,Almire De'Vere - Hunt,1,4,5,2,10,20979,2,6.55,1,16
947970,Joaquin Kohrt,2,4,3,4,1,77343,1,7.77,1,4
585664,Mercedes Baldoni,4,4,3,5,1,62681,4,87.14,1,3
597145,Garrot Daniellot,1,4,2,5,8,35008,1,64.6,1,8
86932,Dilly Baptiste,4,2,5,1,10,67870,5,37.24,1,7
760913,Aurelia Winspeare,5,2,2,4,5,21226,3,27.64,1,14
605787,Eugen Woolf,5,4,2,3,3,10311,2,39.16,1,10
531091,Goraud McPhilemy,2,4,5,5,6,14143,3,79.65,1,13
205694,Abel Bernardot,1,2,1,2,9,8979,5,26.41,1,17
820487,Nydia Dymott,4,1,3,4,10,2161,3,30.33,1,18
234021,Brantley Crossfield,3,5,3,3,2,70963,1,32.06,1,4
772360,Albertine Murray,4,4,5,4,8,30949,1,68.29,1,11
974785,Billye Outibridge,4,5,3,4,7,27712,2,92.24,1,17
779048,Gabbie Dennis,4,3,3,5,10,53409,4,25.96,1,16
830511,Geralda Schrir,2,2,1,4,4,15397,3,34.49,1,14
273401,Danit Bellward,2,1,5,4,10,72783,1,10.46,1,6
707971,Cordelie Bridie,1,1,1,3,8,26823,3,78.21,1,7
884521,Maryann Realff,3,1,2,2,9,62012,5,1.83,1,8
654187,Elspeth Mc Trusty,5,4,2,4,1,45974,5,37,1,8
520753,Ara Sebert,1,3,5,2,7,35432,1,91.83,1,2
72266,Philis Ambrogiotti,4,2,5,3,9,67140,4,29.77,1,18
241962,Kennett Lines,2,3,1,5,1,20301,4,33.83,1,16
293159,Adena Heinschke,5,1,5,2,2,3486,3,50.46,1,0
286595,Brigitta Hartrick,4,5,1,1,6,4985,4,2.23,1,18
424244,Lanni Managh,1,2,2,2,7,6697,2,85.1,1,5
644611,Whit Hammerton,5,1,4,1,5,65036,2,68.9,1,13
338875,Alfredo Verbeke,4,3,2,4,7,3897,4,38.31,1,14
496784,Cosme McGiveen,3,5,2,2,6,77409,2,2.49,1,11
856673,Broddy Smorthit,3,2,4,1,3,15872,5,89.48,1,0
623793,Laurence Dansey,5,2,5,1,5,48767,5,66.21,1,20
241686,Chic Isselee,3,4,5,5,1,13333,4,11.5,1,5
416973,Man Syversen,1,4,3,3,1,20580,1,68.07,1,20
711720,Leslie Attwill,1,4,4,4,4,60105,3,59.72,1,0
484492,Dianna Karpeev,3,3,4,2,5,16564,3,6.21,1,6
887538,Arabel Manger,1,2,1,2,3,24144,2,91.47,1,18
681989,Binny Storek,4,1,4,2,9,38895,4,47.72,1,3
678641,Lauree Gawn,4,1,4,2,9,43721,2,84.74,1,9
858556,Darrel Phython,5,2,3,4,1,30901,1,97.42,1,6
165286,Timmie Lambswood,1,2,2,2,9,35510,2,35.71,1,2
66988,Thorndike Beenham,2,1,1,4,8,13332,5,37.37,1,10
445331,Darn McKellar,5,5,2,3,5,71822,4,73.49,1,8
194583,Carter McElhinney,5,3,1,3,10,74457,1,76.7,1,0
884968,Cristine Klemps,4,4,4,2,2,43688,5,35.16,1,9
672440,Sal O'Reagan,2,5,4,1,8,34833,4,40.96,1,3
503964,Janith Lelande,1,4,5,1,5,79165,5,62,1,7
52515,Sinclair Batts,3,1,2,4,9,2337,3,57.78,1,9
815385,Gwendolin Stivens,2,4,2,3,1,13596,1,96.35,1,3
590569,Federica Salliere,3,2,1,1,10,32085,5,53.08,1,0
305902,Kylynn Koenraad,3,1,2,5,7,14971,4,7.28,1,4
764332,Gardener McKibben,1,5,3,5,9,4969,1,35.03,1,18
9692,Arlina Piken,2,4,5,1,3,38552,2,45.23,1,1
672292,Lane Brenton,2,3,5,5,2,68239,3,64.93,1,20
431906,Roxane Beddard,2,4,3,4,6,65571,5,10.52,1,18
86589,Amber Passy,5,3,3,4,4,22546,5,20.78,1,11
710157,Cori Ajam,1,2,4,1,3,63229,4,21.2,1,19
379175,Ellissa Hurdis,4,2,3,3,10,22206,5,51.32,1,12
942106,Gretna Baldocci,1,3,4,2,5,8209,2,73.16,1,8
557174,Mersey Woodley,5,3,2,1,2,15260,4,65.39,1,12
682135,Randy Pardi,4,2,1,3,1,85355,4,36.25,1,17
182525,Mohandas Kenner,5,4,4,1,10,16747,3,27.03,1,14
888494,Melitta Camden,4,2,1,2,3,4221,3,89.1,1,11
18332,Inger Dzenisenka,4,2,5,5,2,32486,5,3.67,1,12
532568,Genovera Layfield,5,1,2,3,5,50767,2,54.47,1,3
134017,Teriann Petyt,1,3,3,3,5,30749,3,18.43,1,6
274835,Dilly Tilston,2,5,5,4,8,80966,2,25.54,1,17
756298,Sosanna Alessandrucci,5,5,1,2,9,30180,1,4.43,1,20
632462,Kristen Mongan,1,3,1,5,9,39431,2,18.34,1,12
977110,Analise Ganing,1,5,2,5,9,65434,2,46.45,1,0
550569,Guillaume Sellor,4,5,4,3,3,20130,5,46.85,1,8
533224,Neron Goulding,1,2,2,4,8,17842,5,33.36,1,15
685101,Massimiliano Vaz,5,5,3,5,9,51646,1,99.5,1,9
621937,Connor Waddingham,2,5,4,1,7,67727,3,43.06,1,0
854650,Patti Yendle,5,3,1,2,3,22853,5,38.1,1,3
58515,Michaella Clifft,3,1,3,4,3,9424,5,17.73,1,17
651849,Korrie Stockill,3,1,4,5,1,65910,4,42.5,1,16
863253,Corny Drake,3,3,3,1,1,5609,2,65.09,1,3
208731,Robby Gamet,2,2,3,5,10,53166,3,80.15,1,8
620050,Zerk Gammet,4,2,3,3,4,34488,2,77.5,1,15
516352,Saloma Georgiades,4,5,4,3,4,38428,3,29.81,1,9
274741,Gusty Hessing,1,3,3,2,1,17675,4,19.13,1,19
653981,Bay Jarnell,4,5,3,1,1,28681,3,41.47,1,9
795769,Jennine Risbrough,2,2,3,1,1,11633,1,30.95,1,19
349043,Germayne Osgordby,5,4,1,1,7,55638,2,12.73,1,3
809054,Di Cracknell,3,1,1,1,4,49972,3,83.79,1,1
566028,Gwenni Kaines,1,2,1,4,6,60076,3,68.03,1,0
166817,Kennett McLellan,3,3,3,4,3,72400,4,64.73,1,17
579338,Marga Ducker,5,2,4,4,3,15267,5,24.57,1,12
191964,Fayre Melia,2,4,4,2,6,34758,1,20.6,1,0
841389,Karrah Durdan,2,1,5,5,4,34338,2,11.21,1,10
411027,Frannie Eginton,5,2,4,1,1,46741,2,68.5,1,1
569805,Elvera Shillingford,2,3,4,2,5,32947,1,45.21,1,8
892041,Moishe Jolly,5,5,2,5,10,44393,5,28.92,1,13
746641,Nicol Romaint,4,2,1,2,6,62312,3,59.08,1,16
364133,Dougy Shires,4,5,4,1,5,17601,3,55.18,1,1
157309,Masha Dicke,5,1,2,1,8,46248,5,45.39,1,18
765697,Clarance Huebner,2,1,3,4,8,81813,2,86.66,1,18
696543,Herbie Pady,5,1,5,2,4,10119,2,53.69,1,16
189632,Hi Rudge,1,3,1,1,4,8647,1,0.17,1,1
120178,Cristie Skatcher,1,2,5,2,9,44330,3,58.74,1,11
487814,Kassi Bulluck,3,1,1,5,9,53413,3,72.72,1,6
